"","actual_tmpc","predicted_tmpc","accuracy","method"
"82",7.39583333333333,9.10048269923018,1.70464936589685,"ordinary-kriging"
"83",4.89583333333333,3.47911571012429,1.41671762320904,"ordinary-kriging"
"84",2.5625,2.08119886973808,0.481301130261921,"ordinary-kriging"
"85",3.54166666666667,5.20424130348466,1.662574636818,"ordinary-kriging"
"86",8.47916666666667,6.61842124725965,1.86074541940702,"universal-kriging"
"87",7.39583333333333,8.38240242981004,0.986569096476704,"universal-kriging"
"88",4.89583333333333,3.37176759420981,1.52406573912352,"universal-kriging"
"89",2.5625,2.09645025857758,0.466049741422415,"universal-kriging"
"90",3.54166666666667,5.16419413178831,1.62252746512164,"universal-kriging"
"91",8.47916666666667,7.07010971311525,1.40905695355141,"idw"
"92",7.39583333333333,7.82861557820101,0.432782244867675,"idw"
